Team,Season,Record,Points,GP,TOI 5v5,GF 5v5,GA 5v5,FF 5v5,FA 5v5,xGF 5v5,xGA 5v5
Ottawa Senators,17-18,28-43-11,67,82,3983:36:00,152,198,2717,2992,142.3,164.08
Philadelphia Flyers,17-18,42-26-14,98,82,3989:29:00,157,145,2734,2727,148.34,153.28
Pittsburgh Penguins,17-18,47-29-6,100,82,3931:45:00,161,176,3015,2664,177.07,155.75
San Jose Sharks,17-18,45-27-10,100,82,4013:44:00,159,165,2966,2772,166.45,157.28
St Louis Blues,17-18,44-32-6,94,82,3986:13:00,150,137,2892,2596,155.98,144.06
Tampa Bay Lightning,17-18,54-23-5,113,82,3896:22:00,196,146,2923,2756,161.61,141.89
Toronto Maple Leafs,17-18,49-26-7,105,82,4045:04:00,187,158,2926,3086,175.06,174.13
Vancouver Canucks,17-18,31-40-11,73,82,3965:11:00,138,164,2642,2898,140.07,160.67
Vegas Golden Knights,17-18,51-24-7,109,82,3991:53:00,174,157,2883,2802,155.29,151.81
Washington Capitals,17-18,49-26-7,105,82,3949:32:00,170,153,2653,2951,154.6,175.15
Winnipeg Jets,17-18,52-20-10,114,82,3899:49:00,175,144,2845,2657,153.65,140.73
Anaheim Ducks,18-19,35-37-10,80,82,3975:34:00,136,154,2672,2984,147.3,178.03
Arizona Coyotes,18-19,39-35-8,86,82,3955:20:00,131,157,2766,2836,157.27,156.78
Boston Bruins,18-19,49-24-9,107,82,3994:02:00,156,127,2951,2552,157.93,141.94
Buffalo Sabres,18-19,33-39-10,76,82,4030:43:00,154,185,2913,2934,150.94,159.71
Calgary Flames,18-19,50-25-7,107,82,3903:07:00,187,149,2899,2559,166.91,146.14
Carolina Hurricanes,18-19,46-29-7,99,82,3964:27:00,160,148,3216,2655,198.24,159.24
Chicago Blackhawks,18-19,36-34-12,84,82,4031:33:00,183,184,2799,2985,157.99,187.29
Colorado Avalanche,18-19,38-30-14,90,82,3849:55:00,156,153,2724,2696,147.97,150.75
Columbus Blue Jackets,18-19,47-31-4,98,82,4081:48:00,187,170,2909,2787,166.53,159.63
Dallas Stars,18-19,43-32-7,93,82,4028:22:00,136,133,2664,2834,156.27,152.88
Detroit Red Wings,18-19,32-40-10,74,82,4029:33:00,147,177,2605,3020,143.25,178.06
Edmonton Oilers,18-19,35-38-9,79,82,4035:03:00,146,178,2627,2875,151.91,168.9
Florida Panthers,18-19,36-32-14,86,82,3968:30:00,162,189,2792,2793,153.91,165.37
Los Angeles Kings,18-19,31-42-9,71,82,4054:34:00,140,170,2673,2937,146.3,160.09
Minnesota Wild,18-19,37-36-9,83,82,3967:39:00,140,155,2862,2658,155.72,133.59
Montreal Canadiens,18-19,44-30-8,96,82,3985:57:00,188,163,3135,2736,175.29,148.72
Nashville Predators,18-19,47-29-6,100,82,3908:18:00,164,141,2948,2678,160.92,153.03
New Jersey Devils,18-19,31-41-10,72,82,3921:44:00,146,184,2631,2909,149.86,158.19
New York Islanders,18-19,48-27-7,103,82,4026:46:00,162,127,2613,2801,156.51,156.74
New York Rangers,18-19,32-36-14,78,82,3953:16:00,145,172,2564,2968,155.38,171.39
Ottawa Senators,18-19,29-47-6,64,82,4054:08:00,170,219,2710,3250,156.04,179.11
Philadelphia Flyers,18-19,37-37-8,82,82,3969:05:00,165,190,2738,2859,153.73,163.26
Pittsburgh Penguins,18-19,44-26-12,100,82,4029:10:00,182,150,2957,2941,175.85,163.77
San Jose Sharks,18-19,46-27-9,101,82,3996:17:00,192,185,3020,2514,179.74,151.26
St Louis Blues,18-19,45-28-9,99,82,3984:50:00,166,147,2785,2571,164.84,143.58
Tampa Bay Lightning,18-19,62-16-4,128,82,3907:24:00,206,157,2882,2728,164.93,147.56
Toronto Maple Leafs,18-19,46-28-8,100,82,4084:29:00,206,170,3184,3180,179.57,174.8
Vancouver Canucks,18-19,35-36-11,81,82,3956:25:00,145,175,2648,2866,138.73,162.96
Vegas Golden Knights,18-19,43-32-7,93,82,4015:19:00,173,162,3068,2594,183.91,149.81
Washington Capitals,18-19,48-26-8,104,82,3934:31:00,197,161,2767,2884,155.38,172.65
Winnipeg Jets,18-19,47-30-5,99,82,3950:31:00,167,163,2760,2898,150.18,164.03
Anaheim Ducks,19-20,29-33-9,67,71,3430:07:00,130,148,2414,2581,134.03,151.8
Arizona Coyotes,19-20,33-29-8,74,70,3400:28:00,128,127,2406,2573,132.06,137.68
Boston Bruins,19-20,44-14-12,100,70,3316:26:00,141,105,2316,2232,122.43,113.62
Buffalo Sabres,19-20,30-31-8,68,69,3393:08:00,130,134,2199,2321,115.88,127.72
Calgary Flames,19-20,36-27-7,79,70,3405:49:00,133,146,2472,2509,140.79,137.53
Carolina Hurricanes,19-20,38-25-5,81,68,3209:27:00,141,136,2432,2106,143.58,129.34
Chicago Blackhawks,19-20,32-30-8,72,70,3382:46:00,147,147,2321,2516,138.45,155.08
Colorado Avalanche,19-20,42-20-8,92,70,3309:55:00,162,115,2398,2266,131.11,122.07
Columbus Blue Jackets,19-20,33-22-15,81,70,3469:01:00,125,122,2422,2339,131.33,121.58
Dallas Stars,19-20,37-24-8,82,69,3287:50:00,108,110,2210,2264,133.42,119.99
Detroit Red Wings,19-20,17-49-5,39,71,3394:55:00,92,168,2073,2437,112.28,140.83
Edmonton Oilers,19-20,37-25-9,83,71,3464:42:00,141,157,2295,2453,134.43,142.28
Florida Panthers,19-20,35-26-8,78,69,3340:36:00,158,154,2337,2330,130.38,140.33
Los Angeles Kings,19-20,29-35-6,64,70,3438:08:00,118,140,2617,2343,144.84,135.73
Minnesota Wild,19-20,35-27-7,77,69,3300:24:00,156,140,2283,2310,124.95,110.46
Montreal Canadiens,19-20,31-31-9,71,71,3474:09:00,147,142,2680,2307,150.73,128.1
Nashville Predators,19-20,35-26-8,78,69,3296:44:00,152,135,2491,2333,134.44,129.19
New Jersey Devils,19-20,28-29-12,68,69,3248:58:00,122,156,2182,2472,121.98,139.47
New York Islanders,19-20,35-23-10,80,68,3372:03:00,126,133,2176,2487,130.42,135.81
New York Rangers,19-20,37-28-5,79,70,3304:21:00,150,143,2292,2532,133.74,150.29
Ottawa Senators,19-20,25-34-12,62,71,3424:02:00,129,155,2424,2569,139.69,142.57
Philadelphia Flyers,19-20,41-21-7,89,69,3293:33:00,153,134,2251,2173,130.07,126.18
Pittsburgh Penguins,19-20,40-23-6,86,69,3357:28:00,151,138,2314,2189,131.67,122.17
San Jose Sharks,19-20,29-36-5,63,70,3364:54:00,123,162,2268,2259,135.45,138.96
St Louis Blues,19-20,42-19-10,94,71,3477:01:00,149,119,2296,2226,130.92,130.82
Tampa Bay Lightning,19-20,43-21-6,92,70,3293:56:00,162,122,2336,2194,136.18,117.57
Toronto Maple Leafs,19-20,36-25-9,81,70,3455:01:00,158,157,2598,2463,146.42,139.67
Vancouver Canucks,19-20,36-27-6,78,69,3249:12:00,142,145,2312,2401,132.92,142.1
Vegas Golden Knights,19-20,39-24-8,86,71,3466:38:00,150,144,2699,2210,163.88,127.76
Washington Capitals,19-20,41-20-8,90,69,3196:29:00,156,142,2336,2215,135.41,130.75
Winnipeg Jets,19-20,37-28-6,80,71,3518:31:00,138,142,2369,2609,121.32,157.76
Anaheim Ducks,20-21,17-30-9,43,56,2764:39:00,100,122,1740,1888,97.39,114.35
Arizona Coyotes,20-21,24-26-6,54,56,2681:58:00,98,115,1738,1832,100.43,106.05
Boston Bruins,20-21,33-16-7,73,56,2694:56:00,107,93,2026,1650,101.14,88.15
Buffalo Sabres,20-21,15-34-7,37,56,2811:50:00,87,137,1786,2076,97.82,114.12
Calgary Flames,20-21,26-27-3,55,56,2661:29:00,112,104,1863,1678,104.57,90.32
Carolina Hurricanes,20-21,36-12-8,80,56,2712:32:00,105,81,1989,1728,119.97,102.4
Chicago Blackhawks,20-21,24-25-7,55,56,2708:51:00,100,125,1613,1976,94.27,120.11
Colorado Avalanche,20-21,39-13-4,82,56,2643:13:00,131,88,2058,1464,118.46,79.23
Columbus Blue Jackets,20-21,18-26-12,48,56,2838:35:00,97,131,1803,2031,94.5,111.08
Dallas Stars,20-21,23-19-14,60,56,2767:10:00,101,93,1849,1670,102.32,86.97
Detroit Red Wings,20-21,19-27-10,48,56,2731:17:00,87,112,1610,1942,88.85,106.27
Edmonton Oilers,20-21,35-19-2,72,56,2737:45:00,115,116,1776,1872,105.29,106.21
Florida Panthers,20-21,37-14-5,79,56,2652:31:00,118,94,1955,1685,110.21,93.1
Los Angeles Kings,20-21,21-28-7,49,56,2702:17:00,95,119,1731,1858,94.62,114.67
Minnesota Wild,20-21,35-16-5,75,56,2681:43:00,126,108,1686,1883,99.24,94.54
Montreal Canadiens,20-21,24-21-11,59,56,2733:53:00,106,103,1958,1686,105.26,93.82
Nashville Predators,20-21,31-23-2,64,56,2695:34:00,104,90,1887,1839,99.5,102.13
New Jersey Devils,20-21,19-30-7,45,56,2741:48:00,102,123,1850,1887,103.96,108.13
New York Islanders,20-21,32-17-7,71,56,2794:36:00,113,90,1780,1824,106.5,97.05
